movie_id,movie_title,movie_year,IMDB_rating,IMDB_votes,genres
m51,drop dead gorgeous,1999,6.30,16417,['comedy'COMMA 'adult']
m52,duck soup,1933,8.10,27112,['comedy'COMMA 'musical']
m53,the elephant man,1980,8.40,59625,['biography'COMMA 'drama'COMMA 'history']
m54,erik the viking,1989,5.90,5889,['comedy'COMMA 'adventure'COMMA 'fantasy']
m55,eternal sunshine of the spotless mind,2004,8.50,224838,['drama'COMMA 'romance'COMMA 'sci-fi']
m56,even cowgirls get the blues,1993,4.00,3947,['comedy'COMMA 'drama'COMMA 'romance'COMMA 'western']
m57,event horizon,1997,6.40,45497,['horror'COMMA 'mystery'COMMA 'mystery'COMMA 'sci-fi'COMMA 'sci-fi']
m58,fantastic four,2005,5.70,72581,['action'COMMA 'adventure'COMMA 'fantasy'COMMA 'sci-fi'COMMA 'fantasy']
m59,fast times at ridgemont high,1982,7.20,31710,['comedy'COMMA 'drama'COMMA 'romance']
m60,fear and loathing in las vegas,1998,7.60,82748,['drama'COMMA 'fantasy']
m61,feast,2005,6.40,12248,['action'COMMA 'comedy'COMMA 'horror'COMMA 'thriller']
m62,frances,1982,7.20,2756,['biography'COMMA 'drama']
m63,frankenstein,1931,8.00,23522,['drama'COMMA 'horror'COMMA 'sci-fi']
m64,friday the 13th,2009,5.60,27499,['horror']
m65,from dusk till dawn,1996,7.10,81559,['action'COMMA 'crime'COMMA 'horror'COMMA 'thriller']
m66,g.i. jane,1997,5.60,24068,['action'COMMA 'drama']
m67,godzilla,1998,4.90,60310,['action'COMMA 'horror'COMMA 'sci-fi'COMMA 'thriller']
m68,galaxy quest,1999,7.20,53004,['action'COMMA 'adventure'COMMA 'comedy'COMMA 'sci-fi']
m69,george washington,2000,7.50,3142,['drama']
m70,get shorty,1995,6.90,33588,['comedy'COMMA 'crime'COMMA 'thriller']
m71,ghost ship,2002,5.30,26413,['horror'COMMA 'mystery'COMMA 'thriller']
m72,ghost world,2001,7.70,43550,['comedy'COMMA 'drama']
m73,the ghost and the darkness,1996,6.60,19954,['adventure'COMMA 'drama'COMMA 'thriller']
m74,ghostbusters ii,1989,6.10,45450,['action'COMMA 'adventure'COMMA 'comedy'COMMA 'fantasy'COMMA 'sci-fi'COMMA 'action'COMMA 'adventure'COMMA 'comedy'COMMA 'sci-fi']
m75,ghostbusters,1986,6.90,237,['animation'COMMA 'comedy'COMMA 'fantasy'COMMA 'sci-fi'COMMA 'horror']
m76,gladiator,2000,8.40,286067,['action'COMMA 'adventure'COMMA 'drama']
m77,the graduate,1967,8.20,79677,['comedy'COMMA 'drama'COMMA 'romance']
m78,grand hotel,1932,7.70,6088,['drama'COMMA 'romance']
m79,the grifters,1990,7.00,11481,['crime'COMMA 'drama'COMMA 'thriller']
m80,halloween h20: 20 years later,1998,5.40,22353,['drama'COMMA 'horror'COMMA 'thriller']
m81,halloween: the curse of michael myers,1995,4.50,8743,['horror'COMMA 'thriller']
m82,happy birthdayCOMMA wanda june,1971,5.80,144,['comedy'COMMA 'drama']
m83,hardcore,1979,6.70,2455,['drama']
m84,harold and maude,1971,8.10,28689,['comedy'COMMA 'romance']
m85,hellbound: hellraiser ii,1988,6.20,11273,['drama'COMMA 'horror'COMMA 'thriller']
m86,hellboy,2004,6.80,68619,['action'COMMA 'adventure'COMMA 'fantasy']
m87,hellraiser,1987,7.00,22922,['horror']
m88,high fidelity,2000,7.60,70464,['comedy'COMMA 'drama'COMMA 'music'COMMA 'romance']
m89,highlander,1986,7.20,41243,['action'COMMA 'fantasy']
m90,his girl friday,1940,8.10,20870,['comedy'COMMA 'drama'COMMA 'romance']
m91,hope and glory,1987,7.40,4965,['drama'COMMA 'war']
m92,house of 1000 corpses,2003,5.60,27033,['horror']
m93,human nature,2001,6.30,10017,['comedy'COMMA 'drama']
m94,the hustler,1961,8.20,25871,['drama'COMMA 'romance'COMMA 'sport']
m95,i am legend,2007,7.10,156084,['drama'COMMA 'sci-fi'COMMA 'thriller']
m96,invaders from mars,1953,6.40,2115,['horror'COMMA 'sci-fi']
m97,independence day,1996,6.60,151698,['action'COMMA 'adventure'COMMA 'sci-fi'COMMA 'thriller']
m98,indiana jones and the last crusade,1989,8.30,174947,['action'COMMA 'adventure'COMMA 'thriller'COMMA 'action'COMMA 'adventure'COMMA 'fantasy']
m99,indiana jones and the temple of doom,1984,7.50,112054,['action'COMMA 'adventure']
m100,innerspace,1987,6.50,16854,['action'COMMA 'adventure'COMMA 'comedy'COMMA 'crime'COMMA 'sci-fi']
m101,the insider,1999,8.00,69660,['biography'COMMA 'drama'COMMA 'thriller']
m102,intolerable cruelty,2003,6.40,36739,['comedy'COMMA 'romance'COMMA 'crime']
m103,it happened one night,1934,8.30,25577,['comedy'COMMA 'romance']
m104,jfk,1991,8.00,60406,['biography'COMMA 'drama'COMMA 'history'COMMA 'mystery'COMMA 'thriller']
m105,jackie brown,1997,7.60,85496,['crime'COMMA 'drama'COMMA 'thriller']
m106,jacob's ladder,1990/I,7.50,29182,['drama'COMMA 'mystery'COMMA 'thriller']
m107,jason x,2001,4.40,18199,['horror'COMMA 'sci-fi']
m108,jaws,1975,8.30,140982,['thriller']
m109,juno,2007,7.90,152436,['comedy'COMMA 'drama']
m110,kalifornia,1993,6.70,21830,['crime'COMMA 'drama'COMMA 'thriller']
m111,kids,1995,6.80,26546,['crime'COMMA 'drama']
m112,knight moves,1992,5.80,3272,['mystery'COMMA 'thriller']
m113,krull,1983,5.90,8246,['fantasy'COMMA 'action'COMMA 'adventure'COMMA 'sci-fi']
m114,léon,1994,8.60,204901,['crime'COMMA 'drama'COMMA 'thriller']
m115,labor of love,1998,4.50,45,[]
m116,leaving las vegas,1995,7.60,42919,['drama'COMMA 'romance']
m117,legally blonde,2001,6.20,44558,['comedy']
m118,legend,1985,6.20,20907,['fantasy'COMMA 'adventure'COMMA 'romance']
m119,life as a house,2001,7.50,19468,['drama'COMMA 'romance']
m120,the life of david gale,2003,7.30,38237,['drama'COMMA 'crime'COMMA 'thriller']
m121,little nicky,2000,5.00,35489,['fantasy'COMMA 'comedy'COMMA 'romance'COMMA 'animation'COMMA 'comedy'COMMA 'fantasy'COMMA 'horror']
m122,logan's run,1976,6.70,15152,['action'COMMA 'sci-fi']
m123,lost highway,1997,7.60,42998,['drama'COMMA 'horror'COMMA 'mystery'COMMA 'thriller']
m124,lost horizon,1937,7.80,5509,['adventure'COMMA 'drama'COMMA 'fantasy'COMMA 'mystery']
m125,men in black,1997,7.00,121719,['action'COMMA 'adventure'COMMA 'comedy'COMMA 'sci-fi']
m126,minority report,2002,7.70,137009,['action'COMMA 'crime'COMMA 'mystery'COMMA 'sci-fi'COMMA 'thriller'COMMA 'action'COMMA 'animation'COMMA 'drama'COMMA 'mystery'COMMA 'sci-fi'COMMA 'thriller']
m127,made,2001,6.40,9774,['comedy'COMMA 'crime'COMMA 'drama'COMMA 'thriller']
m128,malcolm x,1992,7.70,23317,['biography'COMMA 'drama'COMMA 'history']
m129,man on fire,2004,7.70,76517,['action'COMMA 'crime'COMMA 'drama'COMMA 'thriller']
m130,marty,1955,7.70,6379,['drama'COMMA 'romance']
m131,mash,1970,7.80,29358,['comedy'COMMA 'war'COMMA 'drama']
m132,meet john doe,1941,7.70,4841,['comedy'COMMA 'drama'COMMA 'romance']
m133,metro,1997,5.30,9601,['action'COMMA 'comedy'COMMA 'crime'COMMA 'drama'COMMA 'thriller']
m134,metropolis,1927,8.40,40730,['adventure'COMMA 'drama'COMMA 'sci-fi']
m135,mighty morphin power rangers,1994,8.20,35,['action'COMMA 'family']
m136,mobsters,1991,5.50,3574,['crime'COMMA 'drama']
m137,monkeybone,2001,4.50,8258,['animation'COMMA 'comedy'COMMA 'fantasy'COMMA 'romance']
m138,my mother dreams the satan's disciples in new york,1998,6.70,70,['short']
m139,mr. smith goes to washington,1939,8.40,33984,['drama']
m140,mr. deeds goes to town,1936,8.00,7594,['comedy'COMMA 'romance']
m141,mumford,1999,6.80,6333,['comedy'COMMA 'drama']
m142,the mummy,1999,6.90,96736,['action'COMMA 'adventure'COMMA 'fantasy']
m143,mystery men,1999,5.90,31817,['action'COMMA 'comedy'COMMA 'fantasy']
m144,napoleon,1995,5.50,486,['family'COMMA 'adventure']
m145,next friday,2000,5.40,10267,['comedy']
m146,nick of time,1995,6.20,15945,['crime'COMMA 'drama'COMMA 'thriller']
m147,the night of the hunter,1955,8.20,26211,['drama'COMMA 'film-noir'COMMA 'thriller']
m148,a nightmare on elm street,1984,7.40,47161,['horror']
m149,ninotchka,1939,7.90,6951,['comedy'COMMA 'romance']
m150,nixon,1995,7.10,13878,['biography'COMMA 'drama']
m151,no country for old men,2007,8.30,202649,['crime'COMMA 'drama'COMMA 'mystery'COMMA 'thriller'COMMA 'western']
m152,nurse betty,2000,6.40,20473,['comedy'COMMA 'crime'COMMA 'romance'COMMA 'thriller']
m153,o brotherCOMMA where art thou?,2000,7.80,95628,['comedy'COMMA 'adventure'COMMA 'crime'COMMA 'music']
m154,an officer and a gentleman,1982,6.80,16883,['drama'COMMA 'romance']
m155,panic room,2002,6.90,69824,['thriller']
m156,panther,1995/I,5.90,1129,['drama']
m157,the patriot,2000,6.90,79207,['action'COMMA 'drama'COMMA 'war']
m158,pet sematary,1989,6.30,19851,['drama'COMMA 'fantasy'COMMA 'horror'COMMA 'mystery'COMMA 'thriller']
m159,pirates of the caribbean,2003,7.20,329,['adventure'COMMA 'fantasy'COMMA 'horror']
m160,plastic man,1999,6.70,29,['drama']
m161,platinum blonde,1931,6.90,1119,['comedy'COMMA 'romance']
m162,pleasantville,1998,7.50,49669,['comedy'COMMA 'drama'COMMA 'fantasy']
m163,punch-drunk love,2002,7.40,50312,['comedy'COMMA 'drama'COMMA 'romance']
m164,quills,2000,7.30,22657,['biography'COMMA 'drama'COMMA 'history'COMMA 'romance']
m165,rko 281,1999,7.10,3543,['biography'COMMA 'drama']
m166,raging bull,1980,8.40,91851,['biography'COMMA 'drama'COMMA 'sport']
m167,rear window,1954,8.70,121165,['crime'COMMA 'mystery'COMMA 'romance'COMMA 'thriller']
m168,rebel without a cause,1955,7.90,27791,['drama'COMMA 'romance']
m169,reindeer games,2000,5.50,16951,['action'COMMA 'crime'COMMA 'drama'COMMA 'thriller']
m170,reservoir dogs,1992,8.40,217185,['crime'COMMA 'mystery'COMMA 'thriller']
m171,roughshod,1949,6.90,115,['action'COMMA 'drama'COMMA 'romance'COMMA 'western']
m172,scary movie 2,2001,4.70,44511,['comedy']
m173,serial mom,1994,6.40,11077,['comedy'COMMA 'thriller']
m174,the seventh victim,1943,6.90,1596,['drama'COMMA 'horror'COMMA 'thriller']
m175,sexCOMMA liesCOMMA and videotape,1989,7.10,18505,['drama']
m176,shivers,1975,6.50,4940,['horror'COMMA 'sci-fi']
m177,shock treatment,1981,5.40,1884,['comedy'COMMA 'musical']
m178,sideways,2004,7.80,70349,['comedy'COMMA 'drama'COMMA 'romance']
m179,signs,2002,6.90,113119,['drama'COMMA 'mystery'COMMA 'sci-fi'COMMA 'thriller']
m180,silverado,1985,7.00,14355,['action'COMMA 'western']
m181,simone,2010,8.30,9,['short'COMMA 'drama'COMMA 'horror'COMMA 'thriller']
m182,the sixth sense,1999,8.20,244162,['drama'COMMA 'mystery'COMMA 'thriller']
m183,slash,2002,4.20,899,['comedy'COMMA 'horror'COMMA 'thriller']
m184,slither,2006,6.60,26497,['comedy'COMMA 'horror'COMMA 'sci-fi']
m185,smokey and the bandit,1977,6.60,14147,['action'COMMA 'comedy'COMMA 'crime'COMMA 'romance']
m186,smokin' aces,2006,6.60,58048,['action'COMMA 'crime'COMMA 'drama'COMMA 'thriller']
m187,solaris,2002,6.20,33541,['drama'COMMA 'mystery'COMMA 'romance'COMMA 'sci-fi']
m188,someone to watch over me,1987,6.10,3909,['action'COMMA 'crime'COMMA 'drama'COMMA 'romance'COMMA 'thriller']
m189,spider-man,2002,7.40,169898,['action'COMMA 'adventure'COMMA 'fantasy'COMMA 'sci-fi'COMMA 'action'COMMA 'adventure'COMMA 'sci-fi'COMMA 'thriller']
m190,stalag 17,1953,8.20,21182,['drama'COMMA 'war']
m191,star trek: generations,1994,6.50,26662,['action'COMMA 'mystery'COMMA 'sci-fi'COMMA 'thriller']
m192,star trek iii: the search for spock,1984,6.50,22466,['action'COMMA 'adventure'COMMA 'sci-fi'COMMA 'thriller']
m193,star trek: the wrath of khan,1982,7.80,36503,['action'COMMA 'adventure'COMMA 'sci-fi'COMMA 'thriller']
m194,star trek iv: the voyage home,1986,7.30,26423,['adventure'COMMA 'comedy'COMMA 'sci-fi']
m195,star trek: insurrection,1998,6.30,26728,['action'COMMA 'adventure'COMMA 'sci-fi'COMMA 'thriller']
m196,star trek: first contact,1996,7.60,45429,['action'COMMA 'adventure'COMMA 'sci-fi'COMMA 'thriller']
m197,star trek vi: the undiscovered country,1991,7.20,23751,['action'COMMA 'mystery'COMMA 'sci-fi'COMMA 'thriller']
m198,star trek: nemesis,2002,6.40,28682,['action'COMMA 'sci-fi'COMMA 'thriller']
m199,starman,1984,6.90,14204,['adventure'COMMA 'drama'COMMA 'romance'COMMA 'sci-fi']
m200,strange days,1995,7.10,27744,['action'COMMA 'crime'COMMA 'drama'COMMA 'fantasy'COMMA 'music'COMMA 'mystery'COMMA 'sci-fi'COMMA 'thriller']
m201,suspect zero,2004,5.80,9914,['crime'COMMA 'horror'COMMA 'sci-fi'COMMA 'thriller']
m202,swingers,1996,7.60,32427,['comedy'COMMA 'drama']
m203,the godfather,1972,9.20,419312,['crime'COMMA 'drama'COMMA 'thriller']
m204,the talented mr. ripley,1999,7.20,64055,['crime'COMMA 'drama'COMMA 'thriller']
m205,taxi driver,1976,8.60,159525,['drama'COMMA 'thriller']
m206,the rock,1996,7.30,109533,['action'COMMA 'adventure'COMMA 'thriller']
m207,the majestic,2001,6.80,25057,['drama'COMMA 'romance']
m208,the birds,1963,7.90,53233,['horror'COMMA 'romance'COMMA 'thriller']
m209,the body snatcher,1945,7.40,2927,['drama'COMMA 'horror'COMMA 'thriller']
m210,the crow: salvation,2000,4.70,4566,['action'COMMA 'crime'COMMA 'fantasy'COMMA 'mystery'COMMA 'thriller']
m211,the day the earth stood still,2008,5.50,52489,['drama'COMMA 'sci-fi'COMMA 'thriller']
m212,the lost boys,1987,7.00,34826,['comedy'COMMA 'fantasy'COMMA 'horror'COMMA 'thriller']
m213,the thing,1982,8.20,80904,['horror'COMMA 'mystery'COMMA 'sci-fi'COMMA 'thriller']
m214,the time machine,2002,5.70,32900,['sci-fi'COMMA 'adventure'COMMA 'action']
m215,the jacket,2005,7.10,36581,['drama'COMMA 'fantasy'COMMA 'mystery'COMMA 'sci-fi'COMMA 'thriller']
m216,thelma & louise,1991,7.30,44372,['crime'COMMA 'drama'COMMA 'thriller']
m217,there's something about mary,1998,7.20,97546,['comedy'COMMA 'romance']
m218,thirteen days,2000,7.30,23732,['drama'COMMA 'history'COMMA 'thriller']
m219,thunderheart,1992,6.60,6662,['crime'COMMA 'mystery'COMMA 'thriller'COMMA 'western']
m220,top gun,1986,6.50,81087,['action'COMMA 'drama'COMMA 'romance']
m221,total recall,1990,7.40,71383,['action'COMMA 'adventure'COMMA 'sci-fi'COMMA 'thriller']
m222,tremors,1990,7.10,30553,['action'COMMA 'comedy'COMMA 'horror'COMMA 'thriller']
m223,true believer,1989,6.70,1801,['drama'COMMA 'crime']
m224,twin peaks: fire walk with me,1992,7.00,21274,['drama'COMMA 'horror'COMMA 'mystery'COMMA 'thriller']
m225,the verdict,1982,7.70,10991,['drama']
m226,the war of the worlds,1953,7.10,12239,['action'COMMA 'horror'COMMA 'sci-fi'COMMA 'thriller']
m227,new nightmare,1994,6.30,14975,['fantasy'COMMA 'horror'COMMA 'mystery'COMMA 'thriller']
m228,white squall,1996,6.40,8465,['adventure'COMMA 'drama']
m229,wild at heart,1990,7.20,29388,['crime'COMMA 'romance'COMMA 'thriller']
m230,wonder boys,2000,7.50,31853,['drama'COMMA 'comedy']
m231,the woodsman,2004,7.40,16090,['drama']
m232,the abyss,1989,7.60,51699,['action'COMMA 'adventure'COMMA 'drama'COMMA 'sci-fi'COMMA 'thriller']
m233,l'avventura,1960,7.90,6963,['drama'COMMA 'mystery']
m234,agnes of god,1985,6.50,3490,['drama'COMMA 'mystery'COMMA 'thriller']
m235,a hard day's night,1964,7.60,15431,['comedy'COMMA 'music']
m236,alien,1979,8.50,184471,['adventure'COMMA 'horror'COMMA 'sci-fi'COMMA 'thriller']
m237,alien vs. predator,1993,7.80,116,['action'COMMA 'adventure'COMMA 'sci-fi']
m238,all about eve,1950,8.50,35597,['drama']
m239,all the president's men,1976,8.00,32717,['drama'COMMA 'history'COMMA 'thriller']
m240,american pie,1999,6.90,107961,['comedy'COMMA 'romance']
m241,an american werewolf in paris,1997,4.90,10158,['horror'COMMA 'romance'COMMA 'thriller'COMMA 'comedy']
m242,anastasia,1997,6.60,16844,['animation'COMMA 'adventure'COMMA 'drama'COMMA 'family'COMMA 'musical'COMMA 'animation'COMMA 'family']
m243,annie hall,1977,8.30,66781,['comedy'COMMA 'drama'COMMA 'romance']
m244,the anniversary party,2001,6.20,5809,['drama'COMMA 'comedy']
m245,antz,1998,6.80,37825,['animation'COMMA 'adventure'COMMA 'comedy'COMMA 'family']
m246,the apartment,1960,8.40,37301,['romance'COMMA 'comedy'COMMA 'drama']
m247,apocalypse now,1979,8.60,176465,['drama'COMMA 'war']
m248,arctic blue,1993,4.80,464,['action'COMMA 'thriller']
m249,as good as it gets,1997,7.80,93201,['comedy'COMMA 'drama'COMMA 'romance']
m250,assassins,1995,6.00,23681,['action'COMMA 'thriller'COMMA 'crime']
m251,asylum,2005,6.10,2395,['drama'COMMA 'romance'COMMA 'thriller']
m252,a walk to remember,2002,7.10,38751,['drama'COMMA 'romance']
m253,back to the future,1985,8.40,207376,['adventure'COMMA 'family'COMMA 'sci-fi']
m254,badlands,1973,7.90,16753,['crime'COMMA 'drama'COMMA 'romance'COMMA 'thriller']
m255,the adventures of buckaroo banzai across the 8th dimension,1984,6.00,10046,['adventure'COMMA 'romance'COMMA 'comedy'COMMA 'sci-fi']
m256,barton fink,1991,7.80,33119,['drama'COMMA 'mystery'COMMA 'thriller']
m257,basic instinct,1992,6.90,57615,['mystery'COMMA 'romance'COMMA 'thriller']
m258,basquiat,1996,6.70,8016,['biography'COMMA 'drama']
m259,batman returns,1992,6.90,79770,['action'COMMA 'crime'COMMA 'fantasy'COMMA 'thriller'COMMA 'animation'COMMA 'crime'COMMA 'fantasy'COMMA 'action'COMMA 'thriller']
m260,batman and robin,1949,6.50,443,['action'COMMA 'adventure'COMMA 'crime'COMMA 'drama'COMMA 'sci-fi']
m261,batman forever,1995,5.40,77223,['action'COMMA 'crime'COMMA 'fantasy'COMMA 'thriller']
m262,batman,1989,7.60,112731,['crime'COMMA 'drama'COMMA 'thriller'COMMA 'action'COMMA 'adventure'COMMA 'crime']
m263,bean,1997,5.80,27131,['comedy'COMMA 'family']
m264,beavis and butt-head do america,1996,6.60,23149,['animation'COMMA 'adventure'COMMA 'comedy'COMMA 'crime']
m265,beetle juice,1988,7.30,62164,['comedy'COMMA 'fantasy']
m266,being there,1979,8.00,25085,['drama'COMMA 'comedy']
m267,being john malkovich,1999,7.90,115008,['comedy'COMMA 'drama'COMMA 'fantasy'COMMA 'romance']
m268,beloved,1998/I,5.60,4014,['drama'COMMA 'mystery']
m269,the big lebowski,1998,8.20,182170,['comedy'COMMA 'crime'COMMA 'mystery']
m270,the black dahlia,2006,5.60,35706,['crime'COMMA 'drama'COMMA 'history'COMMA 'mystery'COMMA 'thriller']
m271,blade ii,2002,6.60,51826,['action'COMMA 'fantasy'COMMA 'horror'COMMA 'thriller'COMMA 'action'COMMA 'adventure'COMMA 'horror']
m272,blade,1998,7.00,65885,['action'COMMA 'adventure'COMMA 'fantasy'COMMA 'horror'COMMA 'thriller']
m273,book of shadows: blair witch 2,2000,4.10,16285,['crime'COMMA 'horror'COMMA 'mystery'COMMA 'thriller']
m274,blood simple.,1984,7.80,28901,['crime'COMMA 'drama'COMMA 'thriller']
m275,bloodmoon,1997,4.50,269,['action'COMMA 'thriller']
m276,blow,2001,7.40,71334,['biography'COMMA 'crime'COMMA 'drama']
m277,la battaglia di algeri,1966,8.20,14339,['drama'COMMA 'history'COMMA 'war']
m278,body of evidence,1993,4.10,6052,['drama'COMMA 'romance'COMMA 'thriller']
m279,the bridges of madison county,1995,7.20,22252,['drama'COMMA 'romance']
m280,bones,2001,4.00,3525,['crime'COMMA 'horror']
m281,bound,1996,7.50,23772,['crime'COMMA 'drama'COMMA 'thriller']
m282,the bourne identity,2002,7.70,124918,['action'COMMA 'adventure'COMMA 'mystery'COMMA 'thriller']
m283,brazil,1985,8.00,77350,['drama'COMMA 'fantasy'COMMA 'sci-fi']
m284,bringing out the dead,1999,6.80,31285,['drama'COMMA 'thriller']
m285,broadcast news,1987,7.10,10559,['comedy'COMMA 'drama'COMMA 'romance']
m286,a bucket of blood,1959,6.80,1892,['comedy'COMMA 'horror']
m287,buffy the vampire slayer,1992,5.30,16206,['horror'COMMA 'comedy'COMMA 'action']
m288,bull durham,1988,7.00,18941,['comedy'COMMA 'romance'COMMA 'sport']
m289,casino,1995,8.10,111223,['biography'COMMA 'crime'COMMA 'drama']
m290,catwoman,2004,3.20,35065,['action'COMMA 'crime'COMMA 'fantasy']
m291,cellular,2004,6.50,32920,['action'COMMA 'crime'COMMA 'thriller']
m292,the crying game,1992,7.30,21394,['drama'COMMA 'thriller']
m293,charade,1963,8.00,22815,['comedy'COMMA 'mystery'COMMA 'romance'COMMA 'thriller']
m294,cherry falls,2000,4.80,5669,['horror'COMMA 'mystery'COMMA 'thriller']
m295,chill factor,1999,4.90,5381,['action'COMMA 'adventure'COMMA 'comedy'COMMA 'thriller']
m296,chinatown,1974,8.50,80698,['crime'COMMA 'drama'COMMA 'mystery'COMMA 'thriller']
m297,nuovo cinema paradiso,1988,8.50,46801,['comedy'COMMA 'drama'COMMA 'romance']
m298,citizen kane,1941,8.60,140517,['drama'COMMA 'mystery']
m299,clerks.,1994,8.00,90972,['comedy']
m300,cliffhanger,1993,6.20,34880,['action'COMMA 'adventure'COMMA 'thriller']
m301,a clockwork orange,1971,8.50,197372,['crime'COMMA 'drama'COMMA 'sci-fi']
m302,collateral,2004,7.80,106866,['crime'COMMA 'drama'COMMA 'thriller']
m303,conspiracy theory,1997,6.50,36045,['action'COMMA 'crime'COMMA 'mystery'COMMA 'romance'COMMA 'thriller']
m304,contact,1997,7.40,75043,['drama'COMMA 'mystery'COMMA 'sci-fi'COMMA 'thriller']
m305,cool hand luke,1967,8.30,46514,['crime'COMMA 'drama']
m306,copycat,1995,6.50,17335,['crime'COMMA 'mystery'COMMA 'thriller']
m307,crash,2004/I,8.00,174003,['crime'COMMA 'drama']
m308,crazy love,2007/I,7.00,944,['documentary']
m309,crime spree,2003,6.40,3129,['action'COMMA 'comedy'COMMA 'crime']
m310,crouching tigerCOMMA hidden dragon,2003,8.00,1091,['action']
m311,the crow,1994,7.60,55886,['action'COMMA 'crime'COMMA 'fantasy'COMMA 'thriller']
